Event Description,Year,outage_start_date,power_supplier,location,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,duration,state,outage_type
Load Shed 100+ MW,2013,12/4/2013,WECC - Loveland,Utah,WECC,150,Unknown,load shedding,11.283333333333333,Utah,Load Shedding
Physical Attack - Vandalism,2013,11/24/2013,Pacific Gas & Electric Co,Utah,WECC,,,"vandalism, physical",0.016666666666666666,Utah,Physical Attack
Severe Weather - Wind Storm,2013,11/21/2013,Pacific Gas & Electric Co,California,WECC,150,"89,500","severe weather, wind",7.583333333333333,California,Severe Weather
Physical Attack - Vandalism,2013,11/20/2013,Pacific Gas & Electric Co,Utah,WECC,Unknown,Unknown,"vandalism, physical",0.016666666666666666,Utah,Physical Attack
Severe Weather - Thunderstorms,2013,11/17/2013,Commonwealth Edison Co,Illinois,RFC,Unknown,"190,000","severe weather, thunderstorm",7.983333333333333,Illinois,Severe Weather
Severe Weather - Ice and Snow Storm,2013,11/17/2013,Detroit Edison Co,Michigan,RFC,Unknown,"325,325","severe weather, winter storm",83.9,Michigan,Severe Weather
Severe Weather - Thunderstorms,2013,11/17/2013,American Electric Power,Michigan,RFC,Unknown,"77,346","severe weather, thunderstorm",25.683333333333334,Michigan,Severe Weather
Severe Weather - Thunderstorms,2013,11/17/2013,Duke Energy Midwest,Indiana,RFC,Unknown,"61,705","severe weather, thunderstorm",72.0,Indiana,Severe Weather
Severe Weather - Thunderstorms,2013,11/17/2013,Consumers Energy Co,Michigan,RFC,Unknown,"50,000","severe weather, thunderstorm",96.0,Michigan,Severe Weather
System-wide voltage reductions of 3 percent or more,2013,11/17/2013,City of Rochelle,Indiana,RFC,38,"7,500",voltage reduction,1.0833333333333333,Indiana,Electrical System Issues
Severe Weather - Thunderstorms,2013,11/17/2013,Northern Indiana Public Service Company,Indiana,RFC,Unknown,"75,065","severe weather, thunderstorm",72.0,Indiana,Severe Weather
Severe Weather - Tornadoes,2013,11/17/2013,Duke Energy Indiana Inc,Indiana,RFC,535,"61,705","severe weather, tornado",67.2,Indiana,Severe Weather
Severe Weather - Tornadoes,2013,11/17/2013,Ameren Missouri,Illinois,SERC,Unknown,"200,000","severe weather, tornado",70.41666666666667,Illinois,Severe Weather
Physical Attack - Vandalism,2013,11/16/2013,PacifiCorp,Utah,WECC,,,"vandalism, physical",0.016666666666666666,Utah,Physical Attack
Electrical System Separation (Islanding),2013,11/12/2013,Pacific Gas & Electric Co,California,WECC,55,"48,400",islanding,0.016666666666666666,California,Electrical System Issues
Physical Attack,2013,11/5/2013,Duke Energy Indiana Inc,Indiana,RFC,Unknown,Unknown,"vandalism, physical",48.0,Indiana,Physical Attack
Physical Attack - Vandalism,2013,11/2/2013,PacifiCorp,Utah,WECC,,,"vandalism, physical",0.016666666666666666,Utah,Physical Attack
Severe Weather - Heavy Winds,2013,11/2/2013,Puget Sound Energy,Washington,WECC,Unknown,"105,000","severe weather, wind",42.0,Washington,Severe Weather
Physical Attack - Vandalism,2013,11/1/2013,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,"vandalism, physical",0.016666666666666666,Delaware,Physical Attack
Severe Weather - Hail Storm,2013,10/27/2013,CenterPoint Energy,Texas,TRE,Unknown,"171,117","severe weather, hail",18.0,Texas,Severe Weather
Suspected Physical Attack,2013,10/26/2013,Arizona Public Service Co,Arizona,WECC,Unknown,Unknown,"vandalism, physical",0.016666666666666666,Arizona,Physical Attack
Physical Attack,2013,10/19/2013,Pacific Gas & Electric Co,California,WECC,Unknown,Unknown,"vandalism, physical",7.466666666666667,California,Physical Attack
Physical Attack,2013,10/11/2013,MISO - Entergy,Arkansas,SERC,Unknown,Unknown,"vandalism, physical",4.0,Arkansas,Physical Attack
Physical Attack,2013,10/6/2013,MISO - AECC,Arkansas,SPP,Unknown,"9,200","vandalism, physical",1.8333333333333333,Arkansas,Physical Attack
Severe Weather - Thunderstorms,2013,9/11/2013,Detroit Edison Co,Michigan,RFC,400,"75,000","severe weather, thunderstorm",96.0,Michigan,Severe Weather
Load Shed of 100+ MW,2013,9/10/2013,PJM Interconnection,Pennsylvania,RFC,105,Unknown,load shedding,18.333333333333332,Pennsylvania,Load Shedding
Severe Weather - Thunderstorms,2013,8/30/2013,Exelon Corporation/ComEd,Illinois,RFC,Unknown,"157,000","severe weather, thunderstorm",6.0,Illinois,Severe Weather
Electrical System Separation (Islanding); Severe Weather,2013,8/29/2013,Xcel Energy,Wisconsin,MRO,15,"7,000","islanding, severe weather",0.5333333333333333,Wisconsin,Electrical System Issues
Physcial Attack; Vandalism,2013,8/29/2013,Empire District Electric Co,Missouri,SPP,Unknown,Unknown,"vandalism, physical",0.0,Missouri,Physical Attack
Physcial Attack; Vandalism,2013,8/28/2013,PacifiCorp,Wyoming,WECC,,,"vandalism, physical",0.016666666666666666,Wyoming,Physical Attack
Physcial Attack; Vandalism,2013,8/26/2013,Tacoma Power (TPWR),Washington,WECC,Unknown,Unknown,"vandalism, physical",0.016666666666666666,Washington,Physical Attack
Physcial Attack; Vandalism,2013,8/23/2013,Delmarva Power & Light Company,Delaware,RFC,Unknown,,"vandalism, physical",0.016666666666666666,Delaware,Physical Attack
Physcial Attack; Vandalism,2013,8/22/2013,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,"vandalism, physical",1.8333333333333333,Delaware,Physical Attack
Physcial Attack; Sabotage,2013,8/22/2013,Constellation Energy Control & Dispatch - for Gila River,Arizona,WECC,,,"vandalism, physical",3.15,Arizona,Physical Attack
Physcial Attack; Sabotage,2013,8/21/2013,Entergy Arkansas Inc,Arkansas,SERC,,,"vandalism, physical",0.016666666666666666,Arkansas,Physical Attack
Severe Weather - Lightning Strike,2013,8/19/2013,Southern California Edison Co,California,WECC,685,"124,000","severe weather, thunderstorm",10.933333333333334,California,Severe Weather
Severe Weather - Thunderstorms,2013,8/16/2013,CenterPoint Energy,Texas,TRE,Unknown,"219,681","severe weather, thunderstorm",31.0,Texas,Severe Weather
Suspicious Activity,2013,8/12/2013,PacifiCorp,Oregon,WECC,Unknown,Unknown,vandalism,0.06666666666666667,Oregon,Other
Severe Weather - Thunderstorms,2013,8/7/2013,We Energies,Wisconsin,MRO,220,"51,160","severe weather, thunderstorm",9.2,Wisconsin,Severe Weather
Physcial Attack; Vandalism,2013,8/7/2013,"Caithness Shepherds Flat, LLC",Oregon,WECC,Unknown,Unknown,"vandalism, physical",22.5,Oregon,Physical Attack
Fuel Supply Emergency (Natural Gas & Fuel Oil),2013,8/7/2013,Wisconsin Public Service Corp,Wisconsin,MRO,Unknown,Unknown,"fuel supply emergency, natural gas",1.7333333333333334,Wisconsin,Fuel Supply Emergency
Physical Attack; Vandalism,2013,8/4/2013,Pacificorp,Utah,WECC,,,"vandalism, physical",1.0,Utah,Physical Attack
Loss of 300+ MW Load,2013,8/1/2013,Florida Power & Light Co,Florida,FRCC,297,"104,498",load shedding,13.5,Florida,Load Shedding
Physical Attack; Vandalism,2013,7/25/2013,Tacoma Power (TPWR),Washington,WECC,,,"vandalism, physical",0.08333333333333333,Washington,Physical Attack
Severe Weather - Thunderstorms,2013,7/23/2013,American Electric Power,Oklahoma,SPP,500,"92,748","severe weather, thunderstorm",28.866666666666667,Oklahoma,Severe Weather
Physical Attack; Vandalism,2013,7/22/2013,Terra-Gen Operating Company,California,WECC,Unknown,Unknown,"vandalism, physical",8.0,California,Physical Attack
Severe Weather - Thunderstorms,2013,7/19/2013,Detroit Edison Co,Michigan,RFC,Unknown,"156,627","severe weather, thunderstorm",15.0,Michigan,Severe Weather
Equipment Failure,2013,7/18/2013,San Diego Gas & Electric Co,California,WECC,200,"123,000",equipment failure,10.333333333333334,California,Equipment Failures
Physical Attack; Vandalism,2013,7/18/2013,PacifiCorp,Utah,WECC,,,"vandalism, physical",0.7333333333333333,Utah,Physical Attack
Physical Attack; Vandalism,2013,7/12/2013,Tacoma Power (TPWR),Washington,WECC,Unknown,Unknown,"vandalism, physical",0.016666666666666666,Washington,Physical Attack
Physical Attack; Vandalism,2013,7/11/2013,Arizona Public Service Co,Arizona,WECC,455,Unknown,"vandalism, physical",64.03333333333333,Arizona,Physical Attack
Severe Weather - Thunderstorms,2013,7/10/2013,American Electric Power,Ohio,RFC,,"122,314","severe weather, thunderstorm",26.5,Ohio,Severe Weather
Physical Attack; Copper Theft,2013,7/10/2013,ISO New England,Massachusetts,NPCC,0,0,"vandalism, physical",0.25,Massachusetts,Physical Attack
Suspected Physical Attack,2013,7/3/2013,Sacramento Municipal Utility District,California,WECC,0,0,"vandalism, physical",1.3,California,Physical Attack
Equipment Failure,2013,6/28/2013,Southern California Edison Co,California,WECC,240,"65,255",equipment failure,2.7333333333333334,California,Equipment Failures
Physical Attack; Vandalism,2013,6/28/2013,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,"vandalism, physical",0.016666666666666666,Delaware,Physical Attack
Physical Attack; Vandalism,2013,6/28/2013,ISO New England,Vermont,NPCC,Unknown,Unknown,"vandalism, physical",0.016666666666666666,Vermont,Physical Attack
Physical Attack; Vandalism,2013,6/27/2013,Potomac Electric Power Company,Maryland,RFC,Unknown,Unknown,"vandalism, physical",1.5833333333333333,Maryland,Physical Attack
Severe Weather - Thunderstorms,2013,6/27/2013,Detroit Edison Co,Michigan,RFC,Unknown,"138,000","severe weather, thunderstorm",19.0,Michigan,Severe Weather
Severe Weather - Thunderstorms,2013,6/24/2013,Exelon Corporation/ComEd,Illinois,RFC,Unknown,"283,451","severe weather, thunderstorm",22.266666666666666,Illinois,Severe Weather
Severe Weather - Thunderstorms,2013,6/24/2013,Northern Indiana Public Service Company,Indiana,RFC,Unknown,"86,615","severe weather, thunderstorm",45.5,Indiana,Severe Weather
Severe Weather - Fog,2013,6/23/2013,Pacific Gas & Electric Co,California,WECC,Unknown,"148,000","severe weather, fog",4.25,California,Severe Weather
Physical Attack; Vandalism,2013,6/22/2013,PacifiCorp,Oregon,WECC,,,"vandalism, physical",16.483333333333334,Oregon,Physical Attack
Suspected Physical Attack,2013,6/22/2013,NorthWestern Energy LLC - (MT),Montana,WECC,Unknown,Unknown,"vandalism, physical",13.55,Montana,Physical Attack
Physical Attack; Vandalism,2013,6/21/2013,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,"vandalism, physical",0.016666666666666666,Delaware,Physical Attack
Suspected Cyber Attack,2013,6/21/2013,ITC Transmission,Iowa,MRO,Unknown,Unknown,"vandalism, cyber",3149.633333333333,Iowa,Cyber Events
Physical Attack; Vandalism & Sabotage,2013,6/21/2013,"Valley Electric Assn, Inc",Nevada,WECC,Unknown,"1,100","vandalism, physical",4.566666666666666,Nevada,Physical Attack
Severe Weather - Hailstorm,2013,6/21/2013,Xcel Energy,Minnesota,MRO,Unknown,"193,000","severe weather, hail",129.0,Minnesota,Severe Weather
Severe Weather - Hailstorm,2013,6/21/2013,Xcel Energy,Minnesota,MRO,Unknown,"400,000","severe weather, hail",60.35,Minnesota,Severe Weather
Physcial Attack; Vandalism,2013,6/20/2013,Potomac Electric Power Co,Maryland,RFC,Unknown,Unknown,"vandalism, physical",16.0,Maryland,Physical Attack
Electrical System Separation (Islanding),2013,6/18/2013,Western Area Power Administration,Wyoming,WECC,6,Unknown,islanding,0.5333333333333333,Wyoming,Electrical System Issues
Load Shed of 100+ MW Under Emergency Operational Policy,2013,6/17/2013,Tampa Electric Co,Florida,FRCC,180,37,load shedding,2.533333333333333,Florida,Load Shedding
Severe Weather - Thunderstorms,2013,6/13/2013,American Electric Power,Virginia,"RFC, SERC",Unknown,"90,247","severe weather, thunderstorm",29.833333333333332,Virginia,Severe Weather
Severe Weather - Thunderstorms,2013,6/13/2013,Dominion Virginia Power,Virginia,SERC,900,"283,000","severe weather, thunderstorm",25.133333333333333,Virginia,Severe Weather
Loss of 300+ MW Load; Severe Weather - Thunderstorms,2013,6/13/2013,Potomac Electric Power Company,Maryland,RFC,700,"40,000","severe weather, thunderstorm",0.5,Maryland,Severe Weather
Severe Weather - Thunderstorms,2013,5/31/2013,Ameren Missouri,Missouri,SERC,Unknown,"100,000","severe weather, thunderstorm",24.5,Missouri,Severe Weather
Transmission System Interruption,2013,5/31/2013,Coffeyville Municipal Light and Power,Oklahoma,MRO,102,"6,300",transmission interruption,19.133333333333333,Oklahoma,Transmission and Distribution Issues
Severe Weather - Tornados,2013,5/31/2013,Oklahoma Gas & Electric Co,Oklahoma,SPP,Unknown,"127,000","severe weather, tornado",88.5,Oklahoma,Severe Weather
Severe Weather - Tornados,2013,5/31/2013,Oklahoma Gas & Electric Co,Oklahoma,SPP,Unknown,"127,000","severe weather, tornado",88.5,Oklahoma,Severe Weather
Severe Weather - Lightning,2013,5/31/2013,"Southwest Power Pool, Inc.",Arkansas,SPP,,,"severe weather, thunderstorm",0.5,Arkansas,Severe Weather
Vandalism/Theft,2013,5/29/2013,Delmarva Power & Light Company,Delaware,RFC,,,"vandalism, physical",0.016666666666666666,Delaware,Physical Attack
Physical Attack,2013,5/29/2013,Dominion Virginia Power,Virginia,SERC,Unknown,Unknown,"vandalism, physical",0.03333333333333333,Virginia,Physical Attack
Vandalism/Theft,2013,5/28/2013,ISO New England,Maine,NPCC,,,"vandalism, physical",5.0,Maine,Physical Attack
Generator Trip; Load Shed 100+ MW,2013,5/20/2013,Entergy Transmission - SOC,Louisiana,SERC,103,"21,800","load shedding, generator trip",3.783333333333333,Louisiana,Load Shedding
Severe Weather - Tornados,2013,5/20/2013,Oklahoma Gas & Electric Co,Oklahoma,SPP,Unknown,"41,306","severe weather, tornado",50.0,Oklahoma,Severe Weather
Vandalism,2013,5/17/2013,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,vandalism,0.016666666666666666,Delaware,Physical Attack
Vandalism/Theft,2013,5/14/2013,PacifiCorp,Oregon,WECC,,,"vandalism, physical",1.9666666666666666,Oregon,Physical Attack
Fuel Supply Emergency - Hydro,2013,5/13/2013,California Department of Water Resources,California,WECC,176,Unknown,"fuel supply emergency, hydro",,California,Fuel Supply Emergency
Electrical System Separation (Islanding),2013,5/9/2013,WECC,Washington,WECC,Unknown,Unknown,islanding,3.0,Washington,Electrical System Issues
Electrical System Separation (Islanding),2013,5/1/2013,Xcel Energy/Public Service Company of Colorado,Colorado,WECC,123,"35,230",islanding,0.03333333333333333,Colorado,Electrical System Issues
Vandalism,2013,4/25/2013,City and County of San Francisco,California,WECC,0,0,vandalism,18.916666666666668,California,Physical Attack
Vandalism,2013,4/23/2013,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,vandalism,0.016666666666666666,Delaware,Physical Attack
Suspected Physical Attack,2013,4/21/2013,Tennessee Valley Authority,Tennessee,SERC,,,"vandalism, physical",10.316666666666666,Tennessee,Physical Attack
Severe Weather - Storms and Wind,2013,4/18/2013,Detroit Edison Co,Michigan,RFC,Unknown,"99,188","severe weather, wind",60.5,Michigan,Severe Weather
Suspected Physical Attack,2013,4/17/2013,Tennessee Valley Authority,Alabama,SERC,Unknown,Unknown,"vandalism, physical",1.2833333333333334,Alabama,Physical Attack
"Loss of Part of a High Voltage Substation, Physical Attack",2013,4/16/2013,Pacific Gas & Electric Co,California,WECC,,0,vandalism,61.63333333333333,California,Physical Attack
Vandalism,2013,4/9/2013,Delmarva Power & Light Company,Delaware,RFC,,,vandalism,0.016666666666666666,Delaware,Physical Attack
Vandalism,2013,4/9/2013,Delmarva Power & Light Company,Delaware,RFC,,,vandalism,0.016666666666666666,Delaware,Physical Attack
Sabotage; Vandalism,2013,4/3/2013,Colorado Springs Utilities,Colorado,WECC,0,0,vandalism,2.9166666666666665,Colorado,Physical Attack
Sabotage; Vandalism,2013,4/3/2013,Colorado Springs Utilities,Colorado,WECC,0,0,vandalism,2.9166666666666665,Colorado,Physical Attack
Vandalism - Copper Wire Theft,2013,4/1/2013,ISO New England,Connecticut,NPCC,Unknown,Unknown,"vandalism, physical",0.016666666666666666,Connecticut,Physical Attack
Suspected Physical Attack,2013,3/29/2013,Baltimore Gas and Electric,Maryland,RFC,Unknown,Unknown,"vandalism, physical",0.016666666666666666,Maryland,Physical Attack
Vandalism,2013,3/28/2013,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,vandalism,0.016666666666666666,Delaware,Physical Attack
Physical Attack; Vandalism,2013,3/27/2013,ISO New England,Massachusetts,NPCC,Unknown,Unknown,"vandalism, physical",1.9,Massachusetts,Physical Attack
Vandalism,2013,3/23/2013,ISO New England,Connecticut,NPCC,Unknown,Unknown,vandalism,2.0,Connecticut,Physical Attack
Suspected Physical Attack,2013,3/18/2013,Jacksonville Electric Authority (JEA),Florida,FRCC,0,0,"vandalism, physical",0.2833333333333333,Florida,Physical Attack
Severe Weather - Thunderstorms,2013,3/18/2013,Southern Company,Georgia,SERC,800,"240,000","severe weather, thunderstorm",43.0,Georgia,Severe Weather
Severe Weather - Winter Storm,2013,3/6/2013,Dominion Virginia Power,Virginia,SERC,400,"233,000","severe weather, winter storm",26.083333333333332,Virginia,Severe Weather
Vandalism,2013,3/3/2013,Potomac Electric Power Company,Maryland,RFC,Unknown,Unknown,vandalism,1.8833333333333333,Maryland,Physical Attack
Transmission System Interruption,2013,3/3/2013,Pacific Gas & Electric Co,California,WECC,300,"58,850",transmission interruption,3.8333333333333335,California,Transmission and Distribution Issues
Severe Weather - Winter Storm Nemo,2013,2/26/2013,"Associated Electric Coop, Inc",Missouri,SERC,Unknown,"56,444","severe weather, winter storm",69.0,Missouri,Severe Weather
Electrical System Separation (Islanding),2013,2/19/2013,Pacific Gas & Electric Co.,California,WECC,"13,850","6,810",islanding,20.9,California,Electrical System Issues
Vandalism,2013,2/16/2013,Potomac Electric Power Company,Maryland,RFC,1,1,vandalism,0.0,Maryland,Physical Attack
Vandalism,2013,2/15/2013,Potomac Electric Power Company,Maryland,RFC,,,vandalism,0.016666666666666666,Maryland,Physical Attack
Fuel Supply Emergency - Petroleum,2013,2/13/2013,Footprint Power Salem Harbor Operations LLC,Massachusetts,NPCC,1,1,"fuel supply emergency, petroleum",48.18333333333333,Massachusetts,Fuel Supply Emergency
Vandalism,2013,2/13/2013,Potomac Electric Power Company,Maryland,RFC,1,1,vandalism,0.0,Maryland,Physical Attack
Equipment Trip & Failure,2013,2/8/2013,Potomac Electric Power Company,Maryland,RFC,140,"52,000",equipment failure,2.65,Maryland,Equipment Failures
Severe Weather - Winter Storm Nemo,2013,2/8/2013,ISO New England/NSTAR,Massachusetts,NPCC,Unknown,"50,000","severe weather, winter storm",79.08333333333333,Massachusetts,Severe Weather
