Event Description,Year,outage_start_date,power_supplier,location,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,duration,state,outage_type
Suspected Physical Attack,2014,3/11/2014,ITC Midwest LLC,Iowa,MRO,Unknown,Unknown,"vandalism, physical",48.0,Iowa,Physical Attack
Physical Attack,2014,3/5/2014,PacifiCorp,Utah,WECC,Unknown,Unknown,"vandalism, physical",0.016666666666666666,Utah,Physical Attack
Fuel Supply Emergency - Coal,2014,3/4/2014,Wisconsin Public Service Corp,Wisconsin,MRO,Unknown,Unknown,"fuel supply emergency, coal",312.0,Wisconsin,Fuel Supply Emergency
Severe Weather - Winter Storm,2014,3/3/2014,Tennessee Valley Authority,Tennessee,SERC,Unknown,"65,904","severe weather, winter storm",8.8,Tennessee,Severe Weather
Fuel Supply Emergency - Hydro,2014,3/3/2014,Public Utility District #1 of Chelan County (CHPD),Washington,WECC,630,Unknown,"fuel supply emergency, hydro",0.016666666666666666,Washington,Fuel Supply Emergency
Public Appeal due to Severe Weather - Cold,2014,3/2/2014,ERCOT,Texas,TRE,,,"severe weather, cold",38.0,Texas,Fuel Supply Emergency
Severe Weather - Thunderstorms/High Winds,2014,2/21/2014,Southern Company,Georgia,SERC,221,"66,445","severe weather, thunderstorm, wind",18.116666666666667,Georgia,Severe Weather
Severe Weather - Snow/Ice,2014,2/20/2014,Ameren Missouri,Illinois,SERC,Unknown,"66,000","severe weather, winter storm",31.316666666666666,Illinois,Severe Weather
Physical Attack - Vandalism,2014,2/18/2014,PacifiCorp,Oregon,WECC,,,"vandalism, physical",0.016666666666666666,Oregon,Physical Attack
Physical Attack - Vandalism,2014,2/14/2014,PacifiCorp,Oregon,WECC,Unknown,Unknown,"vandalism, physical",2.0,Oregon,Physical Attack
Physical Attack - Vandalism,2014,2/12/2014,ISO New England,Vermont,NPCC,Unknown,Unknown,"vandalism, physical",0.016666666666666666,Vermont,Physical Attack
Severe Weather - Snow/Ice,2014,2/12/2014,Southern Company,Georgia,SERC,"1,246","373,835","severe weather, winter storm",68.7,Georgia,Severe Weather
